what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xsd.core,1.1.503.v201011121919,"org.eclipse.wst.xsd.core",1317606516316
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1317606516316
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1317606517564
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1317606517611
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1317606517720
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1317606525926
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606528562
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606537454
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1317606537470
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606541230
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606545566
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1317606545582
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606545941
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606593646
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606596688
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606639775
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606641444
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606649431
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1317606649447
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1317606649447
error,log,,,"C:\\Users\\Florian\\.groovy\\greclipse\\global_dsld_support does not exist",1317606652614
error,log,,,"C:\\Users\\Florian\\.groovy\\greclipse\\global_dsld_support does not exist",1317606652614
error,log,,,"Internal Error",1317606660882
error,log,,,"C:\\Users\\Florian\\.groovy\\greclipse\\global_dsld_support does not exist",1317606660882
error,log,,,"C:\\Users\\Florian\\.groovy\\greclipse\\global_dsld_support does not exist",1317606660882
error,log,,,"An internal error occurred during: ""Refreshing workspace"".",1317606661022
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606661100
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606663986
error,log,,,"Internal Error",1317606667559
error,log,,,"An internal error occurred during: ""Refreshing workspace"".",1317606667559
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606667637
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606669337
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606685920
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606742340
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1317606749829
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1317606752652
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1317606756643
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1317606762629
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1317606762700
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1317606763797
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1317606764452
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1317606764795
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1317606764795
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.close",1317606764814
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606774138
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606782088
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1317606782105
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1317606788862
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1317606788899
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1317606792553
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606798602
started,bundle,org.eclipse.wst.common.modulecore.ui,1.0.4.v201101101700,"org.eclipse.wst.common.modulecore.ui",1317606800459
started,bundle,org.eclipse.jst.j2ee.ui,1.1.404.v201101122300,"org.eclipse.jst.j2ee.ui",1317606800474
started,bundle,org.eclipse.jst.servlet.ui,1.1.404.v201101270100,"org.eclipse.jst.servlet.ui",1317606800480
started,bundle,org.eclipse.jst.common.ui,1.0.3.v201101101700,"org.eclipse.jst.common.ui",1317606800560
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.103.v201101271715,"org.eclipse.wst.common.project.facet.ui",1317606805662
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606818957
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1317606818985
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1317606820971
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1317606828963
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606842093
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606844254
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1317606844278
opened,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1317606844449
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1317606844518
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1317606844519
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1317606844519
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1317606850960
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606857624
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606859331
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606865098
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606866269
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606872429
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1317606874571
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1317606875771
started,bundle,org.codehaus.groovy.eclipse.refactoring,2.5.1.xx-20110627-1300-e36,"org.codehaus.groovy.eclipse.refactoring",1317606876135
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606876305
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1317606876328
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1317606876328
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606883936
started,bundle,org.eclipse.wst.server.preview.adapter,1.1.0.v20090311b,"org.eclipse.wst.server.preview.adapter",1317606892645
started,bundle,org.eclipse.jst.server.jetty.core,1.0.0.201108021218,"org.eclipse.jst.server.jetty.core",1317606897314
started,bundle,org.eclipse.jst.server.jetty.ui,1.0.0.201108021218,"org.eclipse.jst.server.jetty.ui",1317606897327
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606919244
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1317606919271
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1317606923974
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606926854
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606928128
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1317606930033
opened,editor,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.editor",1317606930628
activated,editor,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.editor",1317606930730
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1317606932758
closed,editor,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.editor",1317606932758
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1317606934860
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606938376
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606939971
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606944571
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606946955
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1317606946972
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606949590
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606964133
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1317606964162
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317606976935
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607020542
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1317607020593
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1317607023719
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607025814
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607027260
started,bundle,org.eclipse.jst.jee.ui,1.0.304.v201101272100,"org.eclipse.jst.jee.ui",1317607027281
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607027484
started,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1317607027544
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1317607027550
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.203.v20110201,"org.eclipse.jst.server.tomcat.core",1317607027565
started,bundle,org.eclipse.wst.server.http.core,1.0.200.v20090429,"org.eclipse.wst.server.http.core",1317607027574
