what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607603707
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607616593
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607620805
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607622443
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607626529
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1317607626540
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607627284
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607636083
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1317607637518
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1317607638142
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607638470
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607638876
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607639375
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607659632
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1317607660412
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1317607660896
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607661192
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607662346
error,log,,,"Internal Error",1317607662440
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607685748
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1317607693377
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607694094
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1317607694110
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607706496
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607721241
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607730254
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607731294
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607747823
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607748978
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607760865
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607761364
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1317607761380
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607772643
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607776387
opened,view,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms.views.LogCatView",1317607776491
activated,view,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms.views.LogCatView",1317607776557
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1317607776572
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1317607776572
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1317607793312
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607795021
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607802465
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1317607802469
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607810072
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607810113
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607816569
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317607832031
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1317607835082
started,bundle,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.ui",1317607835270
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1317607835413
started,bundle,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui",1317607835494
opened,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1317607836101
error,log,,,"WTF: null part?!?",1317607836106
error,log,,,"WTF: null part?!?",1317607836107
error,log,,,"WTF: null part?!?",1317607836108
error,log,,,"WTF: null part?!?",1317607836109
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1317607836131
activated,view,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms.views.LogCatView",1317607844058
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1317607844163
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1317607848702
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1317607848898
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1317607849092
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1317607849282
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1317607849480
